rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,runs,sample_count_avg,missing_delta_total_avg,missing_delta_total_max,missing_rate_avg,mean_latency_ms_avg,p50_latency_ms_avg,p95_latency_ms_avg,p99_latency_ms_avg,max_latency_ms_avg,max_latency_ms_max,parse_error_count_total,invalid_runs
200000,4000,8000,default,default,3,1975958.0,24037.0,52701,0.012272587415232475,0.01809498418489144,0.006302333333333333,0.07437133333333333,0.08963033333333333,21.342163666666668,55.706242,0,0
200000,8000,16000,default,default,3,1973826.0,26169.0,37497,0.013319842802950127,0.049389476204984684,0.013883000000000001,0.1949523333333333,0.240552,2.962478666666667,4.127779,0,0
200000,16000,32000,default,default,3,1982354.0,17641.0,43071,0.008982740769291845,0.028010963028113938,0.006278,0.13852300000000003,0.26290933333333333,79.873847,215.720242,0,0
200000,32000,64000,default,default,3,1998901.0,1094.0,1863,0.0005474491367812927,0.0296077100253427,0.006314666666666666,0.17587766666666668,0.3386073333333333,2.8313376666666668,4.130496,0,0
200000,100000,200000,default,default,3,1994029.0,5966.0,17898,0.003009943509323711,0.07542637094315312,0.006290333333333333,0.21549053333333304,0.38271933333333336,116.24178166666667,345.286411,0,0
500000,2000,4000,default,default,3,4624866.0,37306.0,99198,0.008068101541354086,0.006119357417669946,0.005388333333333333,0.008074333333333334,0.018370333333333332,56.70056866666667,117.42067,0,0
500000,4000,8000,default,default,3,4655534.0,72458.0,158148,0.015723408327327118,0.006480799424833592,0.005388666666666667,0.007833333333333333,0.010413666666666667,122.740102,305.101243,0,0
500000,8000,16000,default,default,3,4478148.0,9463.0,10767,0.002110509408101234,0.010030612151498289,0.0054013333333333335,0.007827333333333334,0.010407333333333333,354.34404233333333,1047.522565,0,0
500000,16000,32000,default,default,3,4689519.0,12375.0,22152,0.0026568926344238204,0.006521742204729075,0.005376333333333334,0.007969,0.017031,13.872512,34.500328,0,0
500000,32000,64000,default,default,3,4705945.0,18173.0,29544,0.0038614363670273245,0.0076575971370769595,0.005376666666666666,0.007765666666666666,0.010629666666666667,30.251818,52.149376,0,0
500000,100000,200000,default,default,3,4625925.0,57713.0,131577,0.012577998398747242,0.03759566002477576,0.005376666666666666,0.007759333333333333,0.011518333333333334,208.06203933333333,310.646001,0,0
1000000,2000,4000,default,default,3,4664686.0,35527.0,72294,0.007634200481537085,0.005885906351681542,0.005419666666666666,0.007846,0.010641999999999999,45.12811666666666,103.666958,0,0
1000000,4000,8000,default,default,3,4625967.0,99113.0,247614,0.02191147140120829,0.006748456627417413,0.005370666666666667,0.007783999999999999,0.010352,175.11622966666664,462.653762,0,0
1000000,8000,16000,default,default,3,4717526.0,11181.0,14262,0.002370694540082763,0.0058413813401458625,0.005388666666666667,0.0077346666666666675,0.010524,7.915026666666667,16.594365,0,0
1000000,16000,32000,default,default,3,4560133.0,176153.0,310389,0.03937966565941614,0.01385725490224831,0.005395,0.007778,0.010487666666666666,318.59150466666665,554.712422,0,0
