rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
100000,4000,8000,default,default,1,999999,999999,0,0,0.0,0.008490827361827361,0.00924,0.011666,0.013500000000000002,1.21346,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_4000_sndbuf_default_run1.csv
100000,4000,8000,default,default,2,999963,999963,0,36,3.600133204928582e-05,0.007703713411396222,0.006593,0.009704,0.013204,4.080899,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_4000_sndbuf_default_run2.csv
100000,4000,8000,default,default,3,993636,993636,0,6363,0.006403753487192493,0.00946203841950171,0.008204,0.009407,0.011555,63.898064,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_4000_sndbuf_default_run3.csv
100000,8000,16000,default,default,1,999591,999591,0,408,0.0004081669402785739,0.008258859101372461,0.008185,0.009408,0.012185,2.975567,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_8000_sndbuf_default_run1.csv
100000,8000,16000,default,default,2,999819,999819,0,180,0.00018003258589804755,0.008197915219654758,0.008241,0.00987,0.012259,1.386923,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_8000_sndbuf_default_run2.csv
100000,8000,16000,default,default,3,999954,999954,0,45,4.500207009522438e-05,0.008245231940669272,0.008908,0.009852,0.012556,0.937572,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_8000_sndbuf_default_run3.csv
140000,100000,200000,default,default,1,1399998,1399998,0,0,0.0,0.008400493414990592,0.006352,0.009648,0.019797,2.420957,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_100000_sndbuf_default_run1.csv
140000,100000,200000,default,default,2,1399998,1399998,0,0,0.0,0.00845083600476572,0.009074,0.009740000000000002,0.013963,2.068885,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_100000_sndbuf_default_run2.csv
140000,100000,200000,default,default,3,1399998,1399998,0,0,0.0,0.016575200288857558,0.007777,0.009593,0.010889,150.673897,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_100000_sndbuf_default_run3.csv
140000,12000,24000,10000,20000,1,1399572,1399572,0,405,0.0002893741801064897,0.007771769568125113,0.006315,0.006518,0.008481,22.532442,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_10000_run1.csv
