rate_hz,rcvbuf_requested,rcvbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
10000,50000,100000,2,100005,100005,0,0,0.0,0.011704569341532923,0.010277,0.014574,0.020574,1.444275,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_50000_sndbuf_default_run2.csv
10000,50000,100000,3,100005,100005,0,0,0.0,0.013129573121343933,0.013685,0.014352,0.014999,0.327481,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_50000_sndbuf_default_run3.csv
10000,5000,10000,1,100005,100005,0,0,0.0,0.013219838248087595,0.013611,0.01426,0.015092,0.189981,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_5000_sndbuf_default_run1.csv
10000,5000,10000,2,100005,100005,0,0,0.0,0.012382260926953652,0.013519,0.014333,0.015112,0.201666,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_5000_sndbuf_default_run2.csv
10000,5000,10000,3,100005,100005,0,0,0.0,0.012223931633418329,0.013278,0.014093,0.01487,0.246444,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_10000_rcvbuf_5000_sndbuf_default_run3.csv
25000,100000,200000,1,250002,250002,0,0,0.0,0.01301071760625915,0.013592,0.014111,0.014519,1.74059,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_100000_sndbuf_default_run1.csv
25000,100000,200000,2,250002,250002,0,0,0.0,0.012944492392060863,0.013667,0.014315,0.014907,0.193352,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_100000_sndbuf_default_run2.csv
25000,100000,200000,3,250002,250002,0,0,0.0,0.012602551251589988,0.012796,0.013407,0.017796,0.123537,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_100000_sndbuf_default_run3.csv
25000,10000,20000,1,249180,249180,0,822,0.003298820130026487,0.021322006754153626,0.013129,0.01413,0.017241,35.375128,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_10000_sndbuf_default_run1.csv
25000,10000,20000,2,249960,249960,0,42,0.00016802688430148823,0.012597520847335574,0.012648,0.013241,0.014389,4.120253,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-rate-rcvbuf\data\socket_buffer_rate_rcvbuf_matrix\rate_25000_rcvbuf_10000_sndbuf_default_run2.csv
