rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
14000,16000,32000,8000,16000,3,140004,0,140004,0,0.00000000,0.009996006,0.009463000,0.013722000,0.014223000,0.427297000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_8000_run3.csv
14000,8000,16000,10000,20000,1,140004,0,140004,0,0.00000000,0.013826543,0.013760000,0.014370000,0.014908000,0.082185000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_10000_run1.csv
14000,8000,16000,10000,20000,2,140004,0,140004,0,0.00000000,0.013846573,0.013685000,0.014389000,0.019093000,0.084944000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_10000_run2.csv
14000,8000,16000,10000,20000,3,140004,0,140004,0,0.00000000,0.012668902,0.013259000,0.013834000,0.014222000,0.102000000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_10000_run3.csv
14000,8000,16000,12000,24000,1,139953,0,139953,51,0.00036441,0.011864512,0.009611000,0.010426000,0.014352000,7.129511000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_12000_run1.csv
14000,8000,16000,12000,24000,2,140004,0,140004,0,0.00000000,0.013595468,0.013759000,0.014685000,0.015408000,2.964505000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_12000_run2.csv
14000,8000,16000,12000,24000,3,140004,0,140004,0,0.00000000,0.013527553,0.013574000,0.014204000,0.014981000,3.345765000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_12000_run3.csv
14000,8000,16000,16000,32000,1,140004,0,140004,0,0.00000000,0.013641945,0.013574000,0.014111000,0.014889000,0.085185000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_16000_run1.csv
14000,8000,16000,16000,32000,2,140004,0,140004,0,0.00000000,0.012925715,0.013555000,0.014074000,0.014445000,0.981131000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_16000_run2.csv
14000,8000,16000,16000,32000,3,140004,0,140004,0,0.00000000,0.014455341,0.013741000,0.014334000,0.014870000,2.840487000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_16000_run3.csv
14000,8000,16000,2000,4608,1,139938,0,139938,66,0.00047164,0.018268150,0.013723000,0.014630000,0.015722000,15.517672000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_2000_run1.csv
14000,8000,16000,2000,4608,2,140004,0,140004,0,0.00000000,0.012955090,0.013629000,0.014278000,0.014852000,0.190444000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_2000_run2.csv
14000,8000,16000,2000,4608,3,140004,0,140004,0,0.00000000,0.012807804,0.013408000,0.014093000,0.014481000,2.138355000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_2000_run3.csv
14000,8000,16000,4000,8000,1,140004,0,140004,0,0.00000000,0.013183687,0.013611000,0.014204000,0.014593000,2.185522000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_4000_run1.csv
14000,8000,16000,4000,8000,2,140004,0,140004,0,0.00000000,0.013843275,0.013760000,0.014352000,0.015075000,0.303149000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_4000_run2.csv
14000,8000,16000,4000,8000,3,140004,0,140004,0,0.00000000,0.012895791,0.013555000,0.014167000,0.014741000,0.198316000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_4000_run3.csv
14000,8000,16000,8000,16000,1,140004,0,140004,0,0.00000000,0.012999147,0.013685000,0.014370000,0.014981970,0.273352000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_8000_run1.csv
14000,8000,16000,8000,16000,2,140004,0,140004,0,0.00000000,0.014471227,0.013797000,0.014426000,0.014963000,3.508376000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_8000_run2.csv
14000,8000,16000,8000,16000,3,139623,0,139623,381,0.00272878,0.052767025,0.013630000,0.014297000,0.020574000,108.968322000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_8000_sndbuf_8000_run3.csv
18000,12000,24000,10000,20000,1,180003,0,180003,0,0.00000000,0.011954763,0.012574000,0.013518000,0.014426000,1.445372000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_10000_run1.csv
18000,12000,24000,10000,20000,2,179982,0,179982,21,0.00011668,0.014111993,0.012815000,0.013834000,0.014704000,5.428601000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_10000_run2.csv
18000,12000,24000,10000,20000,3,180003,0,180003,0,0.00000000,0.013030853,0.012963000,0.013501000,0.014851000,0.183167000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_18000_rcvbuf_12000_sndbuf_10000_run3.csv
