rate_hz,rx_pin,tx_pin,trial,rx_core,tx_core,rx_effective_core,tx_effective_core,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,first_edge_count,first_edge_mean_latency_ms,first_edge_max_latency_ms,last_edge_count,last_edge_mean_latency_ms,last_edge_max_latency_ms,middle_mean_latency_ms,first_edge_minus_middle_mean_ms,last_edge_minus_middle_mean_ms,tx_status,rx_status,copy_status,run_validity,source_csv
500000,off,off,2,0,1,default,default,4708452,4708452,0,1020,0.00021663170825570696,0.006362353593282888,0.005426,0.007666,0.010371,3.198394,3,0.049463,0.049463,3,0.029463,0.029463,0.0063623114129375165,0.04310068858706248,0.023100688587062483,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_500000_rxpin_off_txpin_off_run2.csv
500000,off,off,3,0,1,default,default,4329546,4329546,0,339696,0.07845995861921781,0.11364171775077572,0.005426,0.008333,0.047685,443.916909,3,0.061556,0.061556,3,0.035593,0.035593,0.11364180792278164,-0.05208580792278164,-0.07804880792278164,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_500000_rxpin_off_txpin_off_run3.csv
500000,off,on,1,0,1,default,1,4494090,4494090,0,250374,0.0557118348764711,0.08568406898059451,0.005389,0.007815,0.010648,521.87457,3,0.074111,0.074111,3,0.036186,0.036186,0.08568410974828242,-0.01157310974828242,-0.049498109748282414,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_500000_rxpin_off_txpin_on_run1.csv
500000,off,on,2,0,1,default,1,3576099,3576099,0,1172283,0.32781055558025657,0.45925923689025383,0.005445,0.007981,0.010871,2294.560824,3,0.046796,0.046796,3,0.036204,0.036204,0.4592599378103422,-0.4124639378103422,-0.4230559378103422,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_500000_rxpin_off_txpin_on_run2.csv
500000,off,on,3,0,1,default,1,4389759,4389759,0,233499,0.05319175836304453,0.11559517688807062,0.005407,0.007759,0.010463,719.971038,3,0.045741,0.045741,3,0.032908,0.032908,0.11559528113631906,-0.06985428113631906,-0.08268728113631907,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_500000_rxpin_off_txpin_on_run3.csv
500000,on,off,1,0,1,0,default,3983322,3983322,0,205578,0.05160968658822963,0.2690877705159161,0.005407,0.007778,0.016018,1524.969885,3,0.068223,0.068223,3,0.030926,0.030926,0.269088101164959,-0.200865101164959,-0.238162101164959,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_500000_rxpin_on_txpin_off_run1.csv
500000,on,off,2,0,1,0,default,4733724,4733724,0,4209,0.0008891519657673325,0.008208850052094293,0.00537,0.007685,0.010592,6.79125,3,0.052204,0.052204,3,0.034204,0.034204,0.008208805695649805,0.0439951943043502,0.025995194304350194,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_500000_rxpin_on_txpin_off_run2.csv
500000,on,off,3,0,1,0,default,4506282,4506282,0,206475,0.045819369493520376,0.07370594563988672,0.005425,0.007833,0.010445,437.715941,3,0.05640799999999999,0.056408,3,0.036241,0.036241,0.0737059820976345,-0.017297982097634508,-0.0374649820976345,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_500000_rxpin_on_txpin_off_run3.csv
500000,on,on,1,0,1,0,1,4750992,4750992,0,0,0.0,0.005745743645116641,0.005426,0.007852,0.010259,0.177796,3,0.053667,0.053667,3,0.035426,0.035426,0.00574569464380657,0.04792130535619343,0.02968030535619343,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_500000_rxpin_on_txpin_on_run1.csv
500000,on,on,2,0,1,0,1,4479216,4479216,0,127698,0.028509006933356194,0.07730419611043539,0.005408,0.007834,0.010686000000000001,433.576207,3,0.047629,0.047629,3,0.030574,0.030574,0.07730424728378442,-0.02967524728378442,-0.046730247283784415,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_500000_rxpin_on_txpin_on_run2.csv
