rate_hz,rcvbuf_requested,rcvbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,last_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
14000,16777216,425984,3,140004,140004,0,0,0.00000000,0.011705,0.012186,0.013111,0.013704,0.913497,0.060425,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_14000_rcvbuf_16777216_run3.csv
16000,65536,131072,1,160005,160005,0,0,0.00000000,0.010375,0.009352,0.009889,0.010704,3.875581,0.051889,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_65536_run1.csv
16000,65536,131072,2,160005,160005,0,0,0.00000000,0.012343,0.012093,0.013204,0.019907,0.208833,0.054500,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_65536_run2.csv
16000,65536,131072,3,160005,160005,0,0,0.00000000,0.012298,0.010611,0.017000,0.019500,4.069673,0.041537,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_65536_run3.csv
16000,262144,425984,1,160005,160005,0,0,0.00000000,0.013142,0.013185,0.013797,0.014259,0.796128,0.086407,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_262144_run1.csv
16000,262144,425984,2,160005,160005,0,0,0.00000000,0.012194,0.012074,0.013055,0.013815,0.543610,0.058148,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_262144_run2.csv
16000,262144,425984,3,160005,160005,0,0,0.00000000,0.010350,0.009722,0.011574,0.012240,3.180750,3.180750,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_262144_run3.csv
16000,1048576,425984,1,160005,160005,0,0,0.00000000,0.011905,0.011815,0.013093,0.013760,0.656201,0.046629,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_1048576_run1.csv
16000,1048576,425984,2,160005,160005,0,0,0.00000000,0.011947,0.012741,0.013463,0.014111,0.264758,0.088129,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_1048576_run2.csv
16000,1048576,425984,3,160005,160005,0,0,0.00000000,0.013255,0.013074,0.013814,0.018685,0.744942,0.186685,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_1048576_run3.csv
16000,4194304,425984,1,160005,160005,0,0,0.00000000,0.009581,0.009296,0.009889,0.014796,0.220851,0.041871,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_4194304_run1.csv
16000,4194304,425984,2,160005,160005,0,0,0.00000000,0.012366,0.011426,0.013018,0.014296,3.959692,2.512011,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_4194304_run2.csv
16000,4194304,425984,3,160005,160005,0,0,0.00000000,0.013150,0.012889,0.013648,0.019482,0.385517,0.087166,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_4194304_run3.csv
16000,8388608,425984,1,160005,160005,0,0,0.00000000,0.014479,0.013482,0.017666,0.020241,0.230851,0.087111,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_8388608_run1.csv
16000,8388608,425984,2,160005,160005,0,0,0.00000000,0.016612,0.011074,0.013204,0.026796,3.980340,0.052315,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_8388608_run2.csv
16000,8388608,425984,3,160005,160005,0,0,0.00000000,0.009583,0.009500,0.010000,0.010481,0.499332,0.035833,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_8388608_run3.csv
16000,16777216,425984,1,160005,160005,0,0,0.00000000,0.012864,0.011907,0.013130,0.019111,4.158432,0.045611,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_16777216_run1.csv
16000,16777216,425984,2,160005,160005,0,0,0.00000000,0.016127,0.015945,0.017797,0.018537,0.499702,0.050833,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_16777216_run2.csv
16000,16777216,425984,3,160005,160005,0,0,0.00000000,0.013648,0.013167,0.014907,0.016111,2.543770,0.052037,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_16000_rcvbuf_16777216_run3.csv
18000,65536,131072,1,180003,180003,0,0,0.00000000,0.014192,0.015981,0.016926,0.018334,2.704585,0.116315,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_65536_run1.csv
