mode,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us
baremetal,pico,276,10000,4750930,8161,-1839
baremetal,pico,277,10000,4761811,10881,881
baremetal,pico,278,10000,4772693,10882,882
baremetal,pico,279,10000,4780854,8161,-1839
baremetal,pico,280,10000,4791735,10881,881
baremetal,pico,281,10000,4802616,10881,881
baremetal,pico,282,10000,4810777,8161,-1839
baremetal,pico,283,10000,4821658,10881,881
baremetal,pico,284,10000,4832540,10882,882
baremetal,pico,285,10000,4840701,8161,-1839
baremetal,pico,286,10000,4851582,10881,881
baremetal,pico,287,10000,4862463,10881,881
baremetal,pico,288,10000,4873345,10882,882
baremetal,pico,289,10000,4881506,8161,-1839
baremetal,pico,290,10000,4892387,10881,881
baremetal,pico,291,10000,4903268,10881,881
baremetal,pico,292,10000,4911429,8161,-1839
baremetal,pico,293,10000,4922310,10881,881
baremetal,pico,294,10000,4933192,10882,882
baremetal,pico,295,10000,4941353,8161,-1839
baremetal,pico,296,10000,4952234,10881,881
baremetal,pico,297,10000,4963115,10881,881
baremetal,pico,298,10000,4971276,8161,-1839
baremetal,pico,299,10000,4982158,10882,882
baremetal,pico,300,10000,4993039,10881,881
baremetal,pico,301,10000,5001200,8161,-1839
baremetal,pico,302,10000,5012081,10881,881
baremetal,pico,303,10000,5022962,10881,881
baremetal,pico,304,10000,5031123,8161,-1839
baremetal,pico,305,10000,5042005,10882,882
baremetal,pico,306,10000,5052886,10881,881
baremetal,pico,307,10000,5061047,8161,-1839
baremetal,pico,308,10000,5071928,10881,881
baremetal,pico,309,10000,5082810,10882,882
baremetal,pico,310,10000,5090971,8161,-1839
baremetal,pico,311,10000,5101852,10881,881
baremetal,pico,312,10000,5112733,10881,881
baremetal,pico,313,10000,5120894,8161,-1839
baremetal,pico,314,10000,5131775,10881,881
baremetal,pico,315,10000,5142657,10882,882
baremetal,pico,316,10000,5150818,8161,-1839
baremetal,pico,317,10000,5161699,10881,881
baremetal,pico,318,10000,5172580,10881,881
baremetal,pico,319,10000,5180741,8161,-1839
baremetal,pico,320,10000,5191623,10882,882
baremetal,pico,321,10000,5202504,10881,881
baremetal,pico,322,10000,5213385,10881,881
baremetal,pico,323,10000,5221546,8161,-1839
baremetal,pico,324,10000,5232427,10881,881
baremetal,pico,325,10000,5243309,10882,882
baremetal,pico,326,10000,5251470,8161,-1839
baremetal,pico,327,10000,5262351,10881,881
baremetal,pico,328,10000,5273232,10881,881
baremetal,pico,329,10000,5281393,8161,-1839
baremetal,pico,330,10000,5292275,10882,882
baremetal,pico,331,10000,5303156,10881,881
baremetal,pico,332,10000,5311317,8161,-1839
baremetal,pico,333,10000,5322198,10881,881
baremetal,pico,334,10000,5333079,10881,881
baremetal,pico,335,10000,5341240,8161,-1839
baremetal,pico,336,10000,5352122,10882,882
baremetal,pico,337,10000,5363003,10881,881
baremetal,pico,338,10000,5371164,8161,-1839
baremetal,pico,339,10000,5382045,10881,881
baremetal,pico,340,10000,5392926,10881,881
baremetal,pico,341,10000,5401087,8161,-1839
baremetal,pico,342,10000,5411969,10882,882
baremetal,pico,343,10000,5422850,10881,881
baremetal,pico,344,10000,5431011,8161,-1839
baremetal,pico,345,10000,5441892,10881,881
baremetal,pico,346,10000,5452774,10882,882
baremetal,pico,347,10000,5460935,8161,-1839
baremetal,pico,348,10000,5471816,10881,881
baremetal,pico,349,10000,5482697,10881,881
baremetal,pico,350,10000,5490858,8161,-1839
baremetal,pico,351,10000,5501739,10881,881
baremetal,pico,352,10000,5512621,10882,882
baremetal,pico,353,10000,5520782,8161,-1839
baremetal,pico,354,10000,5531663,10881,881
baremetal,pico,355,10000,5542544,10881,881
baremetal,pico,356,10000,5550705,8161,-1839
baremetal,pico,357,10000,5561587,10882,882
baremetal,pico,358,10000,5572468,10881,881
baremetal,pico,359,10000,5583349,10881,881
baremetal,pico,360,10000,5591510,8161,-1839
baremetal,pico,361,10000,5602391,10881,881
baremetal,pico,362,10000,5613273,10882,882
baremetal,pico,363,10000,5621434,8161,-1839
baremetal,pico,364,10000,5632315,10881,881
baremetal,pico,365,10000,5643196,10881,881
baremetal,pico,366,10000,5651357,8161,-1839
baremetal,pico,367,10000,5662239,10882,882
baremetal,pico,368,10000,5673120,10881,881
baremetal,pico,369,10000,5681281,8161,-1839
baremetal,pico,370,10000,5692162,10881,881
baremetal,pico,371,10000,5703043,10881,881
baremetal,pico,372,10000,5711204,8161,-1839
baremetal,pico,373,10000,5722086,10882,882
baremetal,pico,374,10000,5732967,10881,881
baremetal,pico,375,10000,5741128,8161,-1839
baremetal,pico,376,10000,5752009,10881,881
baremetal,pico,377,10000,5762891,10882,882
baremetal,pico,378,10000,5771052,8161,-1839
baremetal,pico,379,10000,5781933,10881,881
baremetal,pico,380,10000,5792814,10881,881
baremetal,pico,381,10000,5800975,8161,-1839
baremetal,pico,382,10000,5811856,10881,881
baremetal,pico,383,10000,5822738,10882,882
baremetal,pico,384,10000,5830899,8161,-1839
baremetal,pico,385,10000,5841780,10881,881
baremetal,pico,386,10000,5852661,10881,881
baremetal,pico,387,10000,5860822,8161,-1839
baremetal,pico,388,10000,5871704,10882,882
baremetal,pico,389,10000,5882585,10881,881
baremetal,pico,390,10000,5890746,8161,-1839
baremetal,pico,391,10000,5901627,10881,881
baremetal,pico,392,10000,5912508,10881,881
baremetal,pico,393,10000,5923390,10882,882
baremetal,pico,394,10000,5931551,8161,-1839
baremetal,pico,395,10000,5942432,10881,881
baremetal,pico,396,10000,5953313,10881,881
baremetal,pico,397,10000,5961474,8161,-1839
baremetal,pico,398,10000,5972356,10882,882
baremetal,pico,399,10000,5983237,10881,881
baremetal,pico,400,10000,5991398,8161,-1839
baremetal,pico,401,10000,6002279,10881,881
baremetal,pico,402,10000,6013160,10881,881
baremetal,pico,403,10000,6021321,8161,-1839
baremetal,pico,404,10000,6032203,10882,882
baremetal,pico,405,10000,6043084,10881,881
baremetal,pico,406,10000,6051245,8161,-1839
baremetal,pico,407,10000,6062126,10881,881
baremetal,pico,408,10000,6073008,10882,882
baremetal,pico,409,10000,6081169,8161,-1839
baremetal,pico,410,10000,6092050,10881,881
baremetal,pico,411,10000,6102931,10881,881
baremetal,pico,412,10000,6111092,8161,-1839
baremetal,pico,413,10000,6121973,10881,881
baremetal,pico,414,10000,6132855,10882,882
baremetal,pico,415,10000,6141016,8161,-1839
baremetal,pico,416,10000,6151897,10881,881
baremetal,pico,417,10000,6162778,10881,881
baremetal,pico,418,10000,6170939,8161,-1839
baremetal,pico,419,10000,6181821,10882,882
baremetal,pico,420,10000,6192702,10881,881
baremetal,pico,421,10000,6200863,8161,-1839
baremetal,pico,422,10000,6211744,10881,881
baremetal,pico,423,10000,6222625,10881,881
baremetal,pico,424,10000,6230786,8161,-1839
baremetal,pico,425,10000,6241668,10882,882
baremetal,pico,426,10000,6252549,10881,881
baremetal,pico,427,10000,6260710,8161,-1839
baremetal,pico,428,10000,6271591,10881,881
baremetal,pico,429,10000,6282473,10882,882
baremetal,pico,430,10000,6293354,10881,881
baremetal,pico,431,10000,6301515,8161,-1839
baremetal,pico,432,10000,6312396,10881,881
baremetal,pico,433,10000,6323277,10881,881
baremetal,pico,434,10000,6331438,8161,-1839
baremetal,pico,435,10000,6342320,10882,882
baremetal,pico,436,10000,6353201,10881,881
baremetal,pico,437,10000,6361362,8161,-1839
baremetal,pico,438,10000,6372243,10881,881
baremetal,pico,439,10000,6383125,10882,882
baremetal,pico,440,10000,6391286,8161,-1839
baremetal,pico,441,10000,6402167,10881,881
baremetal,pico,442,10000,6413048,10881,881
baremetal,pico,443,10000,6421209,8161,-1839
baremetal,pico,444,10000,6432090,10881,881
baremetal,pico,445,10000,6442972,10882,882
baremetal,pico,446,10000,6451133,8161,-1839
baremetal,pico,447,10000,6462014,10881,881
baremetal,pico,448,10000,6472895,10881,881
baremetal,pico,449,10000,6481056,8161,-1839
baremetal,pico,450,10000,6491938,10882,882
baremetal,pico,451,10000,6502819,10881,881
baremetal,pico,452,10000,6510980,8161,-1839
baremetal,pico,453,10000,6521861,10881,881
baremetal,pico,454,10000,6532742,10881,881
baremetal,pico,455,10000,6540903,8161,-1839
baremetal,pico,456,10000,6551785,10882,882
baremetal,pico,457,10000,6562666,10881,881
baremetal,pico,458,10000,6570827,8161,-1839
baremetal,pico,459,10000,6581708,10881,881
baremetal,pico,460,10000,6592590,10882,882
baremetal,pico,461,10000,6600751,8161,-1839
baremetal,pico,462,10000,6611632,10881,881
baremetal,pico,463,10000,6622513,10881,881
baremetal,pico,464,10000,6630674,8161,-1839
baremetal,pico,465,10000,6641555,10881,881
baremetal,pico,466,10000,6652437,10882,882
baremetal,pico,467,10000,6663318,10881,881
baremetal,pico,468,10000,6671479,8161,-1839
baremetal,pico,469,10000,6682360,10881,881
baremetal,pico,470,10000,6693242,10882,882
baremetal,pico,471,10000,6701402,8160,-1840
baremetal,pico,472,10000,6712284,10882,882
baremetal,pico,473,10000,6723165,10881,881
baremetal,pico,474,10000,6731326,8161,-1839
baremetal,pico,475,10000,6742207,10881,881
baremetal,pico,476,10000,6753089,10882,882
baremetal,pico,477,10000,6761250,8161,-1839
baremetal,pico,478,10000,6772131,10881,881
baremetal,pico,479,10000,6783012,10881,881
baremetal,pico,480,10000,6791173,8161,-1839
baremetal,pico,481,10000,6802054,10881,881
baremetal,pico,482,10000,6812936,10882,882
baremetal,pico,483,10000,6821097,8161,-1839
baremetal,pico,484,10000,6831978,10881,881
baremetal,pico,485,10000,6842859,10881,881
baremetal,pico,486,10000,6851020,8161,-1839
baremetal,pico,487,10000,6861902,10882,882
baremetal,pico,488,10000,6872783,10881,881
baremetal,pico,489,10000,6880944,8161,-1839
baremetal,pico,490,10000,6891825,10881,881
baremetal,pico,491,10000,6902706,10881,881
baremetal,pico,492,10000,6910867,8161,-1839
baremetal,pico,493,10000,6921749,10882,882
baremetal,pico,494,10000,6932630,10881,881
baremetal,pico,495,10000,6940791,8161,-1839
baremetal,pico,496,10000,6951672,10881,881
baremetal,pico,497,10000,6962554,10882,882
baremetal,pico,498,10000,6970715,8161,-1839
baremetal,pico,499,10000,6981596,10881,881
baremetal,pico,500,10000,6992477,10881,881
baremetal,pico,501,10000,7003358,10881,881
baremetal,pico,502,10000,7011519,8161,-1839
baremetal,pico,503,10000,7022401,10882,882
baremetal,pico,504,10000,7033282,10881,881
baremetal,pico,505,10000,7041443,8161,-1839
baremetal,pico,506,10000,7052324,10881,881
baremetal,pico,507,10000,7063206,10882,882
baremetal,pico,508,10000,7071367,8161,-1839
baremetal,pico,509,10000,7082248,10881,881
baremetal,pico,510,10000,7093129,10881,881
baremetal,pico,511,10000,7101290,8161,-1839
baremetal,pico,512,10000,7112171,10881,881
baremetal,pico,513,10000,7123053,10882,882
baremetal,pico,514,10000,7131214,8161,-1839
baremetal,pico,515,10000,7142095,10881,881
baremetal,pico,516,10000,7152976,10881,881
baremetal,pico,517,10000,7161137,8161,-1839
baremetal,pico,518,10000,7172019,10882,882
