rcv_time_ns,seq,send_time_ns,latency_ns,missing_delta,parse_status
1916738248237368,428,1916738248221387,15981,0,OK
1916738278235508,429,1916738278220175,15333,0,OK
1916738278235508,430,1916738278220175,15333,0,OK
1916738278235508,431,1916738278220175,15333,0,OK
1916738308235889,432,1916738308220481,15408,0,OK
1916738308235889,433,1916738308220481,15408,0,OK
1916738308235889,434,1916738308220481,15408,0,OK
1916738338239695,435,1916738338224066,15629,0,OK
1916738338239695,436,1916738338224066,15629,0,OK
1916738338239695,437,1916738338224066,15629,0,OK
1916738368236298,438,1916738368220668,15630,0,OK
1916738368236298,439,1916738368220668,15630,0,OK
1916738368236298,440,1916738368220668,15630,0,OK
1916738398235919,441,1916738398220105,15814,0,OK
1916738398235919,442,1916738398220105,15814,0,OK
1916738398235919,443,1916738398220105,15814,0,OK
1916738428235911,444,1916738428220485,15426,0,OK
1916738428235911,445,1916738428220485,15426,0,OK
1916738428235911,446,1916738428220485,15426,0,OK
1916738458239884,447,1916738458224070,15814,0,OK
1916738458239884,448,1916738458224070,15814,0,OK
1916738458239884,449,1916738458224070,15814,0,OK
1916738488235376,450,1916738488220654,14722,0,OK
1916738488235376,451,1916738488220654,14722,0,OK
1916738488235376,452,1916738488220654,14722,0,OK
1916738518234682,453,1916738518220034,14648,0,OK
1916738518234682,454,1916738518220034,14648,0,OK
1916738518234682,455,1916738518220034,14648,0,OK
1916738548235489,456,1916738548220471,15018,0,OK
1916738548235489,457,1916738548220471,15018,0,OK
1916738548235489,458,1916738548220471,15018,0,OK
1916738578240536,459,1916738578221536,19000,0,OK
1916738578240536,460,1916738578221536,19000,0,OK
1916738578240536,461,1916738578221536,19000,0,OK
1916738608236102,462,1916738608220713,15389,0,OK
1916738608236102,463,1916738608220713,15389,0,OK
1916738608236102,464,1916738608220713,15389,0,OK
1916738638235075,465,1916738638220149,14926,0,OK
1916738638235075,466,1916738638220149,14926,0,OK
1916738638235075,467,1916738638220149,14926,0,OK
1916738668235752,468,1916738668220530,15222,0,OK
1916738668235752,469,1916738668220530,15222,0,OK
1916738668235752,470,1916738668220530,15222,0,OK
1916738698235855,471,1916738698220633,15222,0,OK
1916738698235855,472,1916738698220633,15222,0,OK
1916738698235855,473,1916738698220633,15222,0,OK
1916738728236032,474,1916738728220513,15519,0,OK
1916738728236032,475,1916738728220513,15519,0,OK
1916738728236032,476,1916738728220513,15519,0,OK
1916738758235283,477,1916738758220209,15074,0,OK
1916738758235283,478,1916738758220209,15074,0,OK
1916738758235283,479,1916738758220209,15074,0,OK
1916738788240441,480,1916738788221589,18852,0,OK
1916738788240441,481,1916738788221589,18852,0,OK
1916738788240441,482,1916738788221589,18852,0,OK
1916738818235581,483,1916738818220840,14741,0,OK
1916738818235581,484,1916738818220840,14741,0,OK
1916738818235581,485,1916738818220840,14741,0,OK
1916738848235702,486,1916738848220369,15333,0,OK
1916738848235702,487,1916738848220369,15333,0,OK
1916738848235702,488,1916738848220369,15333,0,OK
1916738878234953,489,1916738878220083,14870,0,OK
1916738878234953,490,1916738878220083,14870,0,OK
1916738878234953,491,1916738878220083,14870,0,OK
1916738908239945,492,1916738908224797,15148,0,OK
1916738908239945,493,1916738908224797,15148,0,OK
1916738908239945,494,1916738908224797,15148,0,OK
1916738938235381,495,1916738938220085,15296,0,OK
1916738938235381,496,1916738938220085,15296,0,OK
1916738938235381,497,1916738938220085,15296,0,OK
1916738968236891,498,1916738968220465,16426,0,OK
